student_id,assessment_id,score,weight
S0000,A1,79.5,0.2
S0000,A2,73.49,0.2
S0000,A3,78.24,0.2
S0000,A4,84.21,0.2
S0000,A5,75.8,0.2
S0001,A1,81.66,0.2
S0001,A2,73.28,0.2
S0001,A3,82.35,0.2
S0001,A4,88.59,0.2
S0001,A5,85.49,0.2
S0002,A1,84.06,0.2
S0002,A2,85.13,0.2
S0002,A3,81.67,0.2
S0002,A4,81.53,0.2
S0002,A5,81.59,0.2
S0003,A1,49.02,0.2
S0003,A2,34.4,0.2
S0003,A3,48.49,0.2
S0003,A4,23.08,0.2
S0003,A5,22.88,0.2
S0004,A1,80.35,0.2
S0004,A2,87.5,0.2
S0004,A3,79.15,0.2
S0004,A4,80.68,0.2
S0004,A5,81.43,0.2
S0005,A1,79.02,0.2
S0005,A2,77.38,0.2
S0005,A3,80.71,0.2
S0005,A4,75.15,0.2
S0005,A5,78.68,0.2
S0006,A1,48.63,0.2
S0006,A2,51.91,0.2
S0006,A3,21.6,0.2
S0006,A4,60.99,0.2
S0006,A5,25.54,0.2
S0007,A1,59.59,0.2
S0007,A2,74.05,0.2
S0007,A3,48.67,0.2
S0007,A4,50.02,0.2
S0007,A5,66.53,0.2
S0008,A1,73.02,0.2
S0008,A2,85.0,0.2
S0008,A3,81.42,0.2
S0008,A4,79.98,0.2
S0008,A5,75.76,0.2
S0009,A1,50.51,0.2
S0009,A2,56.67,0.2
S0009,A3,59.99,0.2
S0009,A4,41.35,0.2
S0009,A5,59.67,0.2
S0010,A1,70.16,0.2
S0010,A2,60.07,0.2
S0010,A3,70.58,0.2
S0010,A4,58.63,0.2
S0010,A5,62.13,0.2
S0011,A1,90.87,0.2
S0011,A2,75.74,0.2
S0011,A3,81.97,0.2
S0011,A4,76.65,0.2
S0011,A5,80.52,0.2
S0012,A1,62.01,0.2
S0012,A2,63.84,0.2
S0012,A3,59.06,0.2
S0012,A4,58.73,0.2
S0012,A5,62.9,0.2
S0013,A1,43.39,0.2
S0013,A2,39.64,0.2
S0013,A3,50.51,0.2
S0013,A4,30.35,0.2
S0013,A5,42.59,0.2
S0014,A1,44.03,0.2
S0014,A2,55.18,0.2
S0014,A3,12.24,0.2
S0014,A4,61.93,0.2
S0014,A5,28.52,0.2
S0015,A1,48.01,0.2
S0015,A2,59.83,0.2
S0015,A3,57.99,0.2
S0015,A4,45.76,0.2
S0015,A5,61.15,0.2
S0016,A1,88.08,0.2
S0016,A2,75.54,0.2
S0016,A3,84.7,0.2
S0016,A4,79.44,0.2
S0016,A5,76.65,0.2
S0017,A1,78.44,0.2
S0017,A2,82.94,0.2
S0017,A3,86.38,0.2
S0017,A4,84.72,0.2
S0017,A5,76.98,0.2
S0018,A1,78.29,0.2
S0018,A2,82.15,0.2
S0018,A3,79.33,0.2
S0018,A4,82.33,0.2
S0018,A5,81.29,0.2
S0019,A1,43.71,0.2
S0019,A2,36.1,0.2
S0019,A3,36.04,0.2
S0019,A4,35.59,0.2
S0019,A5,40.93,0.2
S0020,A1,84.37,0.2
S0020,A2,80.46,0.2
S0020,A3,88.35,0.2
S0020,A4,78.54,0.2
