student_id,gender,age_band,region,school_board,parental_education,family_income,internet_access,device_type,data_recharge_frequency,disability,has_private_tuition,num_of_prev_attempts,daily_study_hours,attendance_rate,performance
S0000,M,26-35,South,State,Postgraduate,<2L,Yes,Tablet,Daily,No,No,0,2.8,0.89,High
S0001,F,36-45,North,CBSE,School,2L–5L,Yes,Laptop,Daily,No,Yes,0,1.7,0.75,High
S0002,M,0-25,West,CBSE,School,>10L,Yes,Tablet,Daily,No,Yes,0,1.6,1.0,High
S0003,M,36-45,East,State,School,>10L,Yes,Mobile,Daily,No,Yes,1,2.7,0.87,Low
S0004,M,36-45,North,State,Postgraduate,5L–10L,Yes,Laptop,Monthly,Yes,Yes,0,3.9,0.64,High
S0005,F,0-25,North,State,Graduate,<2L,No,Mobile,Weekly,No,No,1,3.9,0.62,High
S0006,M,26-35,East,ICSE,School,<2L,Yes,Laptop,Daily,No,Yes,2,0.7,0.69,Low
S0007,M,0-25,West,CBSE,Postgraduate,5L–10L,Yes,Mobile,Daily,No,No,1,2.5,0.88,Moderate
S0008,M,36-45,East,State,None,5L–10L,Yes,Mobile,Weekly,No,Yes,0,0.6,0.74,High
S0009,F,0-25,North,CBSE,None,>10L,Yes,Mobile,Monthly,No,Yes,1,2.9,0.84,Moderate
S0010,M,36-45,North,State,Postgraduate,2L–5L,Yes,Laptop,Weekly,No,No,2,3.0,0.8,Moderate
S0011,M,0-25,East,CBSE,School,<2L,Yes,Mobile,Monthly,No,Yes,2,1.2,0.88,High
S0012,M,26-35,South,CBSE,Graduate,<2L,Yes,Laptop,Daily,No,No,2,2.9,0.91,Moderate
S0013,M,26-35,East,State,None,5L–10L,Yes,Tablet,Weekly,No,No,1,0.8,0.98,Low
S0014,F,26-35,North,State,Graduate,5L–10L,Yes,Tablet,Daily,No,Yes,1,1.0,0.81,Low
S0015,M,26-35,North,ICSE,Postgraduate,<2L,Yes,Mobile,Weekly,No,Yes,0,2.3,0.63,Moderate
S0016,F,0-25,North,State,None,2L–5L,Yes,Mobile,Monthly,No,Yes,1,1.8,0.97,High
S0017,F,26-35,West,State,School,>10L,Yes,Mobile,Monthly,No,Yes,1,3.8,0.78,High
S0018,F,0-25,East,State,None,>10L,Yes,Tablet,Monthly,No,No,0,2.7,0.91,High
S0019,M,36-45,West,ICSE,School,<2L,Yes,Laptop,Weekly,No,No,1,2.9,0.89,Low
S0020,F,36-45,East,CBSE,Graduate,2L–5L,No,Laptop,Weekly,No,No,0,3.4,0.61,High
S0021,M,36-45,West,ICSE,None,>10L,Yes,Laptop,Weekly,No,No,1,3.4,0.65,Moderate
S0022,F,26-35,South,CBSE,Postgraduate,>10L,Yes,Laptop,Daily,No,No,0,3.2,0.83,Moderate
S0023,F,26-35,North,State,None,2L–5L,Yes,Mobile,Monthly,No,No,0,3.0,0.82,High
S0024,F,26-35,North,State,School,2L–5L,Yes,Mobile,Daily,No,Yes,1,3.3,0.96,High
S0025,F,36-45,East,State,Graduate,<2L,Yes,Tablet,Daily,No,Yes,1,0.7,0.72,High
S0026,F,36-45,North,ICSE,Postgraduate,5L–10L,Yes,Tablet,Daily,No,Yes,1,2.6,0.89,Low
S0027,F,36-45,West,ICSE,School,5L–10L,No,Laptop,Weekly,No,No,0,2.9,0.9,Moderate
S0028,F,36-45,South,State,School,>10L,Yes,Laptop,Daily,No,No,1,2.0,0.74,High
S0029,F,0-25,West,ICSE,Postgraduate,<2L,Yes,Laptop,Weekly,No,Yes,1,3.3,0.87,High
S0030,M,0-25,West,State,Postgraduate,2L–5L,Yes,Mobile,Weekly,No,No,0,3.0,0.93,Low
